"wait","block","temp_daily","rain_interval","rain_heavy_interval","snow_interval","rain_bool","rain_heavy_bool","Prop.commuters","Prop.drivers","Pdrive","Income","Rent","Gini","Prop.vacant","commute.time","hours.worked","Pmoved","pWhite","pHispanic","pPoverty","pRetIncome","pOwned","ADDDATE_morning","ADDDATE_wday","ADDDATE_summer"
8.740543981,"110010087011",58.09259259,0.4,0.1,0,TRUE,TRUE,0.713102409638554,0.253012048192771,0.354804646,77961,1568,0.4495,0.0752508361204013,30.4,40.6,0.309161963,0.4202,0.0963855421686747,0.0488245931283906,0.151898734177215,0.481012658227848,"0","Mon","0"
2.889212963,"110010026001",58.09259259,0.5,0.25,0,TRUE,TRUE,0.594315245478036,0.284237726098191,0.47826087,104292,1353,0.4572,0.028735632183908,33,42.3,0.08714511,0.5444,0.194659776055125,0.0433925049309665,0.256410256410256,0.538461538461538,"0","Mon","0"
5.138969907,"110010033021",58.09259259,0.5,0.166666667,0,TRUE,TRUE,0.561115668580804,0.269893355209188,0.480994152,107589,1750,0.407,0.118867924528302,29.2,42.1,0.169646751,0.3757,0.0689089417555373,0.113490364025696,0.0642398286937901,0.646680942184154,"0","Mon","0"
1.031851852,"110010077071",53.60416667,0.5,0,0,TRUE,FALSE,0.307959814528594,0.187017001545595,0.60727729,30643,725,0.4396,0.220087336244541,38.3,36.9,0.110680938,0,0,0.269876819708847,0.143337066069429,0.235162374020157,"0","Tue","0"
1.031678241,"110010077071",53.60416667,0.5,0,0,TRUE,FALSE,0.307959814528594,0.187017001545595,0.60727729,30643,725,0.4396,0.220087336244541,38.3,36.9,0.110680938,0,0,0.269876819708847,0.143337066069429,0.235162374020157,"0","Tue","0"
1.03181713,"110010077071",53.60416667,0.5,0,0,TRUE,FALSE,0.307959814528594,0.187017001545595,0.60727729,30643,725,0.4396,0.220087336244541,38.3,36.9,0.110680938,0,0,0.269876819708847,0.143337066069429,0.235162374020157,"0","Tue","0"
1.031655093,"110010077071",53.60416667,0.5,0,0,TRUE,FALSE,0.307959814528594,0.187017001545595,0.60727729,30643,725,0.4396,0.220087336244541,38.3,36.9,0.110680938,0,0,0.269876819708847,0.143337066069429,0.235162374020157,"0","Tue","0"
1.031516204,"110010077071",53.60416667,0.5,0,0,TRUE,FALSE,0.307959814528594,0.187017001545595,0.60727729,30643,725,0.4396,0.220087336244541,38.3,36.9,0.110680938,0,0,0.269876819708847,0.143337066069429,0.235162374020157,"0","Tue","0"
1.2653125,"110010092011",60.61071429,0,0,0,FALSE,FALSE,0.462627156125608,0.139318885448916,0.301147228,52734,1229,0.5554,0.10801393728223,29.3,37.6,0.275569451,0.3565,0.075187969924812,0.16015625,0.131510416666667,0.365885416666667,"1","Thu","0"
9.662731481,"110010077072",58.09259259,0.363636364,0.090909091,0,TRUE,TRUE,0.368392370572207,0.187465940054496,0.50887574,65963,1673,0.4396,0.111273792093704,38.3,36.9,0.110680938,0,0.0381471389645777,0.110378912685338,0.350906095551895,0.724876441515651,"0","Mon","0"
